Time, Current Position, Running Average(7), Error, PI Output, Smoothed Output
28.2,-39.0137,-22.0877,16.926,17.6276,4.01419
28.3,-1.04875,-18.6084,-17.5596,-17.0336,-1.24776
28.4,-24.877,-20.3109,4.56614,5.13782,0.348639
28.5,-12.6266,-16.637,-4.01041,-3.47883,-0.608228
28.6,-39.6311,-22.161,17.4701,18.1764,4.08793
28.7,-1.15006,-18.735,-17.585,-17.0545,-1.19769
28.8,-24.6066,-20.422,4.18461,4.75689,0.290958
28.9,-12.4264,-16.6238,-4.1974,-3.66709,-0.698553
29,-40.2229,-22.2201,18.0028,18.7131,4.15436
29.1,-1.27703,-18.8487,-17.5716,-17.037,-1.14348
29.2,-24.3442,-20.5226,3.82159,4.39442,0.240994
29.3,-12.2045,-16.6045,-4.40006,-3.87122,-0.787061
29.4,-40.7763,-22.2654,18.5109,19.2248,4.21591
29.5,-1.41112,-18.9518,-17.5406,-17.0021,-1.08859
29.6,-24.0885,-20.6178,3.47074,4.04399,0.194552
29.7,-11.9736,-16.5822,-4.60854,-4.08138,-0.874432
29.8,-41.3105,-22.3012,19.0092,19.7265,4.27579
29.9,-1.55931,-19.0463,-17.4869,-16.9446,-1.02929
30,-23.8493,-20.7098,3.13953,3.7133,0.156356
30.1,-11.7335,-16.5608,-4.82737,-4.30187,-0.958201
30.2,-41.7913,-22.3294,19.4618,20.1819,4.32684
30.3,-1.7211,-19.1341,-17.413,-16.867,-0.971621
30.4,-23.6108,-20.7965,2.8143,3.38844,0.118393
30.5,-11.4719,-16.5339,-5.062,-4.53849,-1.04583
30.6,-42.2345,-22.3446,19.8899,20.6123,4.3687
30.7,-1.90243,-19.2093,-17.3069,-16.7576,-0.912868
30.8,-23.3623,-20.8706,2.49168,3.06594,0.081833
30.9,-11.2036,-16.5009,-5.29736,-4.77607,-1.13264
31,-42.6192,-22.3435,20.2757,20.9998,4.40046
31.1,-2.09605,-19.27,-17.174,-16.6216,-0.85507
31.2,-23.129,-20.9353,2.19373,2.76797,0.0506908
31.3,-10.9112,-16.4606,-5.54932,-5.03057,-1.21962
31.4,-42.9781,-22.3285,20.6496,21.3749,4.429
31.5,-2.31642,-19.322,-17.0055,-16.4503,-0.790839
31.6,-22.8974,-20.9925,1.90493,2.47917,0.0266621
31.7,-10.6133,-16.4202,-5.80691,-5.29074,-1.30269
31.8,-43.3205,-22.3094,21.0111,21.7374,4.45732
31.9,-2.54185,-19.3684,-16.8266,-16.2686,-0.724147
32,-22.6787,-21.0495,1.62918,2.20348,0.0077607
32.1,-10.2873,-16.3794,-6.09208,-5.57869,-1.38885
32.2,-43.5948,-22.2763,21.3185,22.0451,4.46964
32.3,-2.77946,-19.4023,-16.6228,-16.0625,-0.663388
32.4,-22.4533,-21.0937,1.35964,1.93358,-0.0141459
32.5,-9.97329,-16.3298,-6.35652,-5.84615,-1.47215
32.6,-43.8477,-22.2306,21.617,22.3436,4.48179
32.7,-3.0454,-19.4259,-16.3805,-15.8177,-0.593098
32.8,-22.2506,-21.1349,1.11565,1.68955,-0.0224364
32.9,-9.63595,-16.2837,-6.64772,-6.1403,-1.5519
33,-44.0272,-22.1762,21.851,22.5769,4.48029
33.1,-3.3108,-19.4415,-16.1308,-15.5661,-0.531312
33.2,-22.0409,-21.1655,0.875422,1.4488,-0.0362846
33.3,-9.30051,-16.2302,-6.92968,-6.4256,-1.63361
33.4,-44.202,-22.1097,22.0923,22.8173,4.4791
33.5,-3.59628,-19.4448,-15.8485,-15.282,-0.461171
33.6,-21.817,-21.1849,0.632048,1.20488,-0.044657
33.7,-8.93922,-16.1724,-7.23316,-6.73266,-1.71666
33.8,-44.2856,-22.0259,22.2597,22.9828,4.4582
33.9,-3.88447,-19.4321,-15.5477,-14.9801,-0.40136
34,-21.6433,-21.1954,0.447939,1.02004,-0.0460091
34.1,-8.55978,-16.1037,-7.54389,-7.04722,-1.79631
34.2,-44.3798,-21.9299,22.4499,23.1711,4.44553
34.3,-4.19385,-19.4123,-15.2184,-14.6495,-0.328216
34.4,-21.4361,-21.1976,0.238567,0.809933,-0.043679
34.5,-8.20029,-16.0425,-7.84223,-7.34929,-1.87008
34.6,-44.4228,-21.8337,22.5891,23.3079,4.42441
34.7,-4.51936,-19.3874,-14.8681,-14.2979,-0.256169
34.8,-21.2731,-21.2036,0.0694885,0.640337,-0.0320428
34.9,-7.80829,-15.9791,-8.17083,-7.68169,-1.94445
35,-44.3836,-21.7205,22.6631,23.3789,4.38638
35.1,-4.84938,-19.351,-14.5016,-13.9308,-0.192923
35.2,-21.0849,-21.1916,-0.106709,0.462979,-0.0289476
35.3,-7.43631,-15.9079,-8.47155,-7.98658,-2.01836
35.4,-44.3451,-21.5972,22.7478,23.4603,4.3513
35.5,-5.20809,-19.3022,-14.0942,-13.5226,-0.117187
35.6,-20.9039,-21.173,-0.269142,0.299675,-0.0129712
35.7,-7.03592,-15.8377,-8.80173,-8.32093,-2.08996
35.8,-44.2272,-21.4631,22.7641,23.4726,4.30067
35.9,-5.55219,-19.2441,-13.6919,-13.1204,-0.0545933
36,-20.7521,-21.1463,-0.394291,0.173289,0.00237715
36.1,-6.62194,-15.7573,-9.13538,-8.65916,-2.16301
36.2,-44.1022,-21.3136,22.7886,23.4927,4.25091
36.3,-5.92648,-19.174,-13.2475,-12.6759,0.0192173
36.4,-20.5752,-21.1082,-0.533001,0.0333053,0.0227393
36.5,-6.23373,-15.6805,-9.44681,-8.97497,-2.22669
36.6,-43.9586,-21.1672,22.7915,23.4912,4.20279
36.7,-6.30077,-19.1027,-12.8019,-12.2302,0.0945404
36.8,-20.4497,-21.0781,-0.628401,-0.0629514,0.0551674
36.9,-5.81775,-15.6089,-9.79114,-9.3236,-2.28952
37,-43.7074,-21.0062,22.7012,23.3958,4.13179
37.1,-6.69218,-19.0229,-12.3307,-11.7594,0.158985
37.2,-20.2731,-21.0285,-0.755434,-0.191745,0.0713022
37.3,-5.41664,-15.5225,-10.1059,-9.64322,-2.35733
37.4,-43.464,-20.8315,22.6325,23.3214,4.06236
37.5,-7.09381,-18.9235,-11.8297,-11.2591,0.232003
37.6,-20.1205,-20.9668,-0.8463,-0.284105,0.102976
37.7,-4.9869,-15.4353,-10.4484,-9.99069,-2.42044
37.8,-43.1253,-20.64,22.4852,23.1678,3.97662
37.9,-7.48769,-18.8135,-11.3259,-10.7565,0.293328
38,-19.9963,-20.8963,-0.900085,-0.339782,0.135051
38.1,-4.56557,-15.3394,-10.7739,-10.3213,-2.47903
38.2,-42.8058,-20.4411,22.3646,23.0408,3.90093
38.3,-7.9102,-18.6968,-10.7866,-10.2183,0.371136
38.4,-19.8502,-20.8201,-0.969969,-0.411323,0.175521
38.5,-4.15628,-15.2531,-11.0968,-10.6492,-2.53065
38.6,-42.447,-20.2473,22.1996,22.8693,3.81934
38.7,-8.33306,-18.5811,-10.2481,-9.68088,0.444284
38.8,-19.7446,-20.7496,-1.00499,-0.447851,0.221251
38.9,-3.73632,-15.1682,-11.4319,-10.9891,-2.58133
39,-41.996,-20.0376,21.9584,22.6208,3.7192
39.1,-8.77083,-18.4549,-9.68403,-9.11846,0.509784
39.2,-19.6097,-20.6625,-1.05276,-0.497719,0.257908
39.3,-3.3323,-15.0747,-11.7424,-11.3048,-2.63276
39.4,-41.5498,-19.8199,21.7298,22.3847,3.62161
39.5,-9.20804,-18.3147,-9.10667,-8.54282,0.580503
39.6,-19.4663,-20.5619,-1.09554,-0.542645,0.299716
39.7,-2.9003,-14.9768,-12.0765,-11.6443,-2.6863
39.8,-41.0252,-19.5845,21.4406,22.0872,3.50707
39.9,-9.65156,-18.1619,-8.51036,-7.94893,0.643071
40,-19.3822,-20.4548,-1.07253,-0.52183,0.351846
40.1,-2.4881,-14.8745,-12.3864,-11.9596,-2.72601
40.2,-40.5025,-19.3452,21.1574,21.7958,3.40444
40.3,-10.1133,-18.009,-7.89572,-7.33627,0.719262
40.4,-19.265,-20.3468,-1.08185,-0.533209,0.406144
40.5,-2.06471,-14.7811,-12.7164,-12.2949,-2.76911
40.6,-39.935,-19.1073,20.8277,21.4575,3.28753
40.7,-10.5717,-17.8486,-7.27688,-6.71989,0.785677
40.8,-19.1778,-20.2329,-1.05504,-0.508609,0.462105
40.9,-1.65547,-14.6833,-13.0278,-12.6117,-2.80634
41,-39.307,-18.8538,20.4532,21.0739,3.16371
41.1,-11.0391,-17.6787,-6.63957,-6.08528,0.851463
41.2,-19.0601,-20.1066,-1.04651,-0.502683,0.512926
41.3,-1.25027,-14.5802,-13.3299,-12.9194,-2.84516
41.4,-38.6747,-18.5949,20.0798,20.6911,3.0389
41.5,-11.4951,-17.4974,-6.00231,-5.45101,0.916423
41.6,-18.9468,-19.9676,-1.02078,-0.479692,0.567395
41.7,-0.839321,-14.4722,-13.6329,-13.2281,-2.88148
41.8,-37.9625,-18.3184,19.6441,20.2453,2.90023
41.9,-11.9761,-17.3064,-5.33028,-4.78238,0.979574
42,-18.8682,-19.8232,-0.955057,-0.416705,0.630504
42.1,-0.438861,-14.361,-13.9221,-13.523,-2.90787
42.2,-37.2608,-18.0418,19.219,19.8103,2.77168
42.3,-12.4525,-17.114,-4.66153,-4.11682,1.04955
42.4,-18.7634,-19.6746,-0.911242,-0.375648,0.693253
42.5,-0.044703,-14.2578,-14.2131,-13.8196,-2.93497
42.6,-36.5303,-17.7655,18.7647,19.3459,2.63524
42.7,-12.9431,-16.9191,-3.976,-3.43465,1.11777
42.8,-18.7033,-19.5283,-0.82501,-0.291911,0.765346
42.9,0.346556,-14.1558,-14.5024,-14.1143,-2.95456
43,-35.7237,-17.4803,18.2434,18.8139,2.48756
43.1,-13.4259,-16.7178,-3.29187,-2.75427,1.1771
43.2,-18.594,-19.3677,-0.773643,-0.243788,0.82188
43.3,0.728236,-14.045,-14.7733,-14.3911,-2.98138
