Time, Current Position, Running Average(5), Error, PI Output, Smoothed Output, Measurement, PID Out, Kalman Estimate, Kalman Gain
15.3,-7.44302,-11.6473,-4.20433,-3.56938,1.26922,-7.44302,1.26922,-10.6404,0.0311304
15.4,-5.4292,-11.3522,-5.92299,-5.88034,-0.518172,-5.4292,-0.518172,-10.4782,0.0311302
15.5,-5.9699,-11.7091,-5.73924,-6.27051,-1.95626,-5.9699,-1.95626,-10.3378,0.03113
15.6,-33.1822,-17.0775,16.1047,17.1839,2.82877,-33.1822,2.82877,-11.049,0.0311298
15.7,-7.96421,-11.9977,-4.03349,-3.35765,1.28217,-7.96421,1.28217,-10.9529,0.0311296
15.8,-6.66416,-11.8419,-5.17777,-5.01971,-0.293303,-6.66416,-0.293303,-10.8194,0.0311294
15.9,-5.60434,-11.877,-6.27262,-6.74181,-1.90543,-5.60434,-1.90543,-10.6571,0.0311293
16,-32.9962,-17.2822,15.714,16.8162,2.77498,-32.9962,2.77498,-11.3525,0.0311291
16.1,-8.45582,-12.337,-3.88113,-3.16704,1.28947,-8.45582,1.28947,-11.2623,0.031129
16.2,-7.90715,-12.3255,-4.41839,-4.14614,-0.069429,-7.90715,-0.069429,-11.1579,0.0311288
16.3,-5.24698,-12.0421,-6.79513,-7.20239,-1.85267,-5.24698,-1.85267,-10.9739,0.0311287
16.4,-32.7993,-17.4811,15.3182,16.4428,2.72119,-32.7993,2.72119,-11.6533,0.0311286
16.5,-8.92374,-12.6666,-3.74286,-2.99258,1.29274,-8.92374,1.29274,-11.5683,0.0311285
16.6,-9.14651,-12.8047,-3.65822,-3.27377,0.151115,-9.14651,0.151115,-11.4929,0.0311283
16.7,-4.90249,-12.2038,-7.30131,-7.64699,-1.79841,-4.90249,-1.79841,-11.2878,0.0311282
16.8,-32.5863,-17.6717,14.9146,16.0604,2.66629,-32.5863,2.66629,-11.9508,0.0311282
16.9,-9.3806,-12.9879,-3.60732,-2.82227,1.29415,-9.3806,1.29415,-11.8708,0.0311281
17,-10.384,-13.28,-2.89599,-2.40054,0.370476,-10.384,0.370476,-11.8245,0.031128
17.1,-4.57607,-12.3659,-7.78981,-8.07334,-1.74048,-4.57607,-1.74048,-11.5988,0.0311279
17.2,-32.3721,-17.8598,14.5123,15.68,2.61464,-32.3721,2.61464,-12.2455,0.0311278
17.3,-9.80081,-13.3027,-3.50191,-2.6844,1.28988,-9.80081,1.28988,-12.1694,0.0311278
17.4,-11.6105,-13.7487,-2.13822,-1.53453,0.58378,-11.6105,0.58378,-12.152,0.0311277
17.5,-4.25406,-12.5227,-8.26865,-8.49182,-1.68512,-4.25406,-1.68512,-11.9061,0.0311276
17.6,-32.159,-18.0393,14.1197,15.3085,2.56329,-32.159,2.56329,-12.5366,0.0311276
17.7,-10.2068,-13.6062,-3.39944,-2.55059,1.28482,-10.2068,1.28482,-12.464,0.0311275
17.8,-12.8599,-14.218,-1.35818,-0.645152,0.802328,-12.8599,0.802328,-12.4764,0.0311275
17.9,-3.95227,-12.6864,-8.73413,-8.89451,-1.62188,-3.95227,-1.62188,-12.211,0.0311274
18,-31.9332,-18.2222,13.7109,14.9217,2.514,-31.9332,2.514,-12.8249,0.0311274
18.1,-10.593,-13.909,-3.31598,-2.43687,1.27629,-10.593,1.27629,-12.7555,0.0311274
18.2,-14.0812,-14.6839,-0.60267,0.216179,1.01126,-14.0812,1.01126,-12.7967,0.0311273
18.3,-3.64765,-12.8415,-9.19382,-9.29436,-1.56514,-3.64765,-1.56514,-12.5119,0.0311273
18.4,-31.6992,-18.3909,13.3083,14.5386,2.4608,-31.6992,2.4608,-13.1092,0.0311272
18.5,-10.9519,-14.1946,-3.24271,-2.33669,1.26143,-10.9519,1.26143,-13.042,0.0311272
18.6,-15.3032,-15.1366,0.166539,1.08922,1.21838,-15.3032,1.21838,-13.1124,0.0311272
18.7,-3.36629,-12.9936,-9.62735,-9.6674,-1.50307,-3.36629,-1.50307,-12.809,0.0311271
18.8,-31.4465,-18.5534,12.8931,14.1423,2.40828,-31.4465,2.40828,-13.3892,0.0311271
18.9,-11.2946,-14.4725,-3.17789,-2.24643,1.24461,-11.2946,1.24461,-13.324,0.0311271
19,-16.5065,-15.5834,0.923075,1.94685,1.42017,-16.5065,1.42017,-13.423,0.0311271
19.1,-3.09988,-13.1427,-10.0429,-10.0234,-1.44072,-3.09988,-1.44072,-13.1017,0.031127
19.2,-31.197,-18.7089,12.4881,13.7564,2.35857,-31.197,2.35857,-13.665,0.031127
19.3,-11.5921,-14.738,-3.14595,-2.19225,1.22087,-11.5921,1.22087,-13.6004,0.031127
19.4,-17.7041,-16.0199,1.6842,2.80633,1.61723,-17.7041,1.61723,-13.7282,0.031127
19.5,-2.84086,-13.2868,-10.4459,-10.3684,-1.37918,-2.84086,-1.37918,-13.3893,0.031127
19.6,-30.9475,-18.8563,12.0912,13.3778,2.31007,-30.9475,2.31007,-13.9358,0.031127
19.7,-11.8852,-14.9939,-3.10873,-2.13295,1.19932,-11.8852,1.19932,-13.872,0.0311269
19.8,-18.9117,-16.4579,2.45386,3.67502,1.81824,-18.9117,1.81824,-14.0289,0.0311269
19.9,-2.59959,-13.437,-10.8374,-10.7,-1.31131,-2.59959,-1.31131,-13.6731,0.0311269
20,-30.6922,-19.0073,11.685,12.9909,2.26424,-30.6922,2.26424,-14.2029,0.0311269
20.1,-12.1572,-15.2492,-3.09198,-2.09525,1.17437,-12.1572,1.17437,-14.1392,0.0311269
20.2,-20.0826,-16.8887,3.1939,4.51001,2.00828,-20.0826,2.00828,-14.3242,0.0311269
20.3,-2.36374,-13.5791,-11.2153,-11.0207,-1.24898,-2.36374,-1.24898,-13.9519,0.0311269
20.4,-30.4286,-19.1449,11.2837,12.6067,2.21493,-30.4286,2.21493,-14.4648,0.0311269
20.5,-12.3996,-15.4863,-3.08676,-2.07249,1.14308,-12.3996,1.14308,-14.4005,0.0311269
20.6,-21.2394,-17.3028,3.93661,5.34455,2.19344,-21.2394,2.19344,-14.6133,0.0311268
20.7,-2.15415,-13.7171,-11.5629,-11.3113,-1.18274,-2.15415,-1.18274,-14.2255,0.0311268
20.8,-30.1565,-19.2756,10.8809,12.2206,2.16811,-30.1565,2.16811,-14.7214,0.0311268
20.9,-12.6276,-15.7154,-3.08787,-2.05692,1.11185,-12.6276,1.11185,-14.6562,0.0311268
21,-22.3772,-17.711,4.66621,6.16378,2.37483,-22.3772,2.37483,-14.8966,0.0311268
21.1,-1.95547,-13.8542,-11.8987,-11.591,-1.11663,-1.95547,-1.11663,-14.4938,0.0311268
21.2,-29.8798,-19.3993,10.4805,11.8362,2.12158,-29.8798,2.12158,-14.9727,0.0311268
21.3,-12.8094,-15.9299,-3.12048,-2.07678,1.07199,-12.8094,1.07199,-14.9053,0.0311268
21.4,-23.5093,-18.1062,5.40307,6.98707,2.55076,-23.5093,2.55076,-15.1731,0.0311268
21.5,-1.77148,-13.9851,-12.2136,-11.851,-1.04967,-1.77148,-1.04967,-14.756,0.0311268
21.6,-29.6039,-19.5148,10.0891,11.4607,2.07791,-29.6039,2.07791,-15.2182,0.0311268
21.7,-12.9888,-16.1366,-3.14779,-2.09102,1.03568,-12.9888,1.03568,-15.1488,0.0311268
21.8,-24.636,-18.5019,6.13409,7.80427,2.72783,-24.636,2.72783,-15.4441,0.0311268
21.9,-1.60481,-14.121,-12.5162,-12.0976,-0.978529,-1.60481,-0.978529,-15.0133,0.0311268
22,-29.3274,-19.6322,9.69527,11.0834,2.03694,-29.3274,2.03694,-15.4589,0.0311268
22.1,-13.1415,-16.3397,-3.1982,-2.12992,0.995226,-13.1415,0.995226,-15.3867,0.0311268
22.2,-25.7314,-18.8882,6.84317,8.59576,2.89536,-25.7314,2.89536,-15.7087,0.0311268
22.3,-1.44081,-14.2492,-12.8084,-12.3366,-0.912638,-1.44081,-0.912638,-15.2646,0.0311268
22.4,-29.0557,-19.7394,9.31631,10.7197,1.99544,-29.0557,1.99544,-15.6939,0.0311268
22.5,-13.2714,-16.5282,-3.25674,-2.17903,0.951826,-13.2714,0.951826,-15.6185,0.0311267
22.6,-26.7999,-19.2598,7.54003,9.37175,3.05681,-26.7999,3.05681,-15.9665,0.0311267
22.7,-1.3044,-14.3744,-13.07,-12.5453,-0.843726,-1.3044,-0.843726,-15.5101,0.0311267
22.8,-28.7599,-19.8382,8.92162,10.3385,1.95183,-28.7599,1.95183,-15.9226,0.0311267
22.9,-13.3805,-16.7032,-3.32268,-2.23808,0.904351,-13.3805,0.904351,-15.8434,0.0311267
23,-27.8382,-19.6166,8.22159,10.1283,3.21035,-27.8382,3.21035,-16.2168,0.0311267
23.1,-1.17884,-14.4924,-13.3135,-12.7381,-0.776763,-1.17884,-0.776763,-15.7487,0.0311267
23.2,-28.4872,-19.9289,8.55829,9.98953,1.91481,-28.4872,1.91481,-16.1452,0.0311267
23.3,-13.4513,-16.8672,-3.41592,-2.32628,0.854538,-13.4513,0.854538,-16.0614,0.0311267
23.4,-28.87,-19.9651,8.90493,10.8851,3.36217,-28.87,3.36217,-16.46,0.0311267
23.5,-1.07658,-14.6128,-13.5362,-12.9097,-0.705795,-1.07658,-0.705795,-15.9812,0.0311267
23.6,-28.2014,-20.0173,8.1841,9.62903,1.87791,-28.2014,1.87791,-16.3616,0.0311267
23.7,-13.5152,-17.0229,-3.5077,-2.41354,0.805048,-13.5152,0.805048,-16.273,0.0311267
23.8,-29.8809,-20.3088,9.57204,11.6234,3.50964,-29.8809,3.50964,-16.6966,0.0311267
23.9,-0.987009,-14.7322,-13.7452,-13.0684,-0.634861,-0.987009,-0.634861,-16.2076,0.0311267
24,-27.9189,-20.1007,7.81826,9.27693,1.84309,-27.9189,1.84309,-16.5721,0.0311267
24.1,-13.5543,-17.1712,-3.617,-2.52003,0.752306,-13.5543,0.752306,-16.4782,0.0311267
24.2,-30.8617,-20.6406,10.2212,12.3403,3.6493,-30.8617,3.6493,-16.9259,0.0311267
24.3,-0.905079,-14.8454,-13.9403,-13.2153,-0.566846,-0.905079,-0.566846,-16.4272,0.0311267
24.4,-27.6367,-20.1753,7.46132,8.93251,1.80799,-27.6367,1.80799,-16.7761,0.0311267
24.5,-13.574,-17.3063,-3.73235,-2.6344,0.697394,-13.574,0.697394,-16.6765,0.0311267
24.6,-31.8,-20.9555,10.8445,13.0269,3.77977,-31.8,3.77977,-17.1472,0.0311267
24.7,-0.849494,-14.953,-14.1035,-13.3315,-0.498045,-0.849494,-0.498045,-16.6399,0.0311267
