time, running_average(5), position_error, PI_output, smoothed_output, PID_out, kalman_estimate, kalman_gain
16,54.5928,32.1769,-44.9404,-29.4035,-29.4035,31.5649,0.0311291
16.1,70.0723,18.2161,-32.8011,-30.2529,-30.2529,33.3307,0.031129
16.2,78.8858,2.8608,-17.7319,-27.1226,-27.1226,34.8378,0.0311288
16.3,80.4107,-12.3824,-1.2505,-20.6546,-20.6546,35.871,0.0311287
16.4,74.8707,-25.35,14.2521,-11.9279,-11.9279,36.2959,0.0311286
16.5,63.7848,-32.4446,24.5911,-2.79815,-2.79815,36.1416,0.0311285
16.6,50.7759,-27.5321,22.4319,3.50937,3.50937,35.7401,0.0311283
16.7,41.1952,-7.35212,2.98711,3.3788,3.3788,35.6811,0.0311282
16.8,39.2425,19.022,-25.2892,-3.78821,-3.78821,36.3841,0.0311282
16.9,46.7325,40.2383,-50.5293,-15.4735,-15.4735,37.9587,0.0311281
17,63.2289,50.5932,-65.9436,-28.091,-28.091,40.3202,0.031128
17.1,85.6096,49.5378,-69.842,-38.5287,-38.5287,43.272,0.0311279
17.2,108.559,40.0318,-64.3391,-44.9813,-44.9813,46.5503,0.0311278
17.3,127.458,25.2993,-52.1366,-46.7701,-46.7701,49.8563,0.0311278
17.4,139.464,7.54054,-35.1319,-43.8606,-43.8606,52.8803,0.0311277
17.5,142.998,-11.5077,-14.9328,-36.6286,-36.6286,55.3273,0.0311276
17.6,137.408,-30.2116,6.7922,-25.7734,-25.7734,56.9418,0.0311276
17.7,122.882,-46.9226,28.1955,-12.2812,-12.2812,57.5338,0.0311275
17.8,100.548,-59.4584,46.6771,2.45837,2.45837,57.0219,0.0311275
17.9,73.2048,-62.9164,56.4268,15.9505,15.9505,55.5672,0.0311274
18,47.7647,-43.4743,41.3321,22.2959,22.2959,53.9711,0.0311274
18.1,32.2657,-2.56442,0.678653,16.8916,16.8916,53.2157,0.0311274
18.2,29.8016,33.8366,-39.106,2.89219,2.89219,53.5401,0.0311273
18.3,40.6553,54.703,-65.4427,-14.1915,-14.1915,54.8418,0.0311273
18.4,62.7872,58.1604,-74.7162,-29.3227,-29.3227,56.8995,0.0311272
18.5,89.6193,48.8318,-70.2708,-39.5597,-39.5597,59.4379,0.0311272
18.6,113.059,33.8414,-58.6645,-44.3359,-44.3359,62.1604,0.0311272
18.7,129.532,16.4701,-42.9402,-43.987,-43.987,64.7701,0.0311271
18.8,137.69,-1.54062,-24.7754,-39.1841,-39.1841,66.992,0.0311271
18.9,137.16,-18.8624,-5.5674,-30.7799,-30.7799,68.589,0.0311271
19,128.257,-34.3208,13.323,-19.7542,-19.7542,69.378,0.0311271
19.1,111.898,-46.7945,30.4763,-7.19658,-7.19658,69.2449,0.031127
19.2,89.6295,-54.9692,44.1478,5.63953,5.63953,68.1684,0.031127
19.3,63.9673,-56.129,50.9206,16.9598,16.9598,66.2905,0.031127
19.4,39.6386,-42.9841,42.0741,23.2384,23.2384,64.1229,0.031127
19.5,22.6949,-13.4769,13.9145,20.9074,20.9074,62.4139,0.031127
19.6,15.9368,15.3761,-16.4761,11.5615,11.5615,61.4458,0.031127
19.7,19.5541,33.1929,-37.6122,-0.731906,-0.731906,61.1751,0.0311269
19.8,32.0033,38.0805,-46.3078,-12.1259,-12.1259,61.4524,0.0311269
19.9,49.0835,32.9724,-44.497,-20.2187,-20.2187,62.0937,0.0311269
20,64.895,23.3802,-37.2428,-24.4747,-24.4747,62.9087,0.0311269
20.1,76.4095,12.4761,-27.5862,-25.2526,-25.2526,63.7172,0.0311269
20.2,82.7433,1.67264,-16.9501,-23.1769,-23.1769,64.3615,0.0311269
20.3,83.8701,-8.15208,-6.31015,-18.9602,-18.9602,64.715,0.0311269
20.4,80.2163,-16.4295,3.61024,-13.3176,-13.3176,64.6861,0.0311269
20.5,72.5218,-22.7193,12.1719,-6.94524,-6.94524,64.2228,0.0311269
20.6,61.7455,-26.7411,18.8678,-0.491966,-0.491966,63.3134,0.0311268
