time,measured_position,estimated_position, error, K1, K2, estimated_velocity
21.6,22.1035,21.5301,2.86701,0.8,0.2,0.498834
21.7,24.4351,23.8641,2.85515,0.8,0.2,1.06986
21.8,26.627,26.0958,2.65594,0.8,0.2,1.60105
21.9,28.4065,27.9764,2.15055,0.8,0.2,2.03116
22,29.4638,29.207,1.28436,0.8,0.2,2.28803
22.1,29.5096,29.4948,0.0738049,0.8,0.2,2.30279
22.2,28.3241,28.6043,-1.40104,0.8,0.2,2.02259
22.3,25.8034,26.404,-3.00313,0.8,0.2,1.42196
22.4,22.0192,22.9246,-4.52697,0.8,0.2,0.516568
22.5,17.3566,18.4805,-5.61975,0.8,0.2,-0.607382
22.6,12.9785,14.0667,-5.44129,0.8,0.2,-1.69564
22.7,11.8259,12.2402,-2.07124,0.8,0.2,-2.10989
22.8,15.9869,15.1953,3.95769,0.8,0.2,-1.31835
22.9,23.0342,21.4401,7.97073,0.8,0.2,0.275796
23,30.7839,28.9207,9.31623,0.8,0.2,2.13904
23.1,38.1771,36.3686,9.0425,0.8,0.2,3.94754
23.2,44.5673,43.0065,7.80402,0.8,0.2,5.50835
23.3,49.4904,48.3038,5.933,0.8,0.2,6.69495
23.4,52.6134,51.8854,3.6402,0.8,0.2,7.42299
23.5,53.7297,53.5093,1.10202,0.8,0.2,7.64339
23.6,52.7616,53.064,-1.51211,0.8,0.2,7.34097
23.7,49.7628,50.5699,-4.03526,0.8,0.2,6.53392
23.8,44.9196,46.1803,-6.30367,0.8,0.2,5.27318
23.9,38.5536,40.1844,-8.15404,0.8,0.2,3.64238
24,31.1477,33.0279,-9.40096,0.8,0.2,1.76218
24.1,23.4566,25.4061,-9.74746,0.8,0.2,-0.187308
24.2,16.918,18.6119,-8.46937,0.8,0.2,-1.88118
24.3,14.4007,15.2053,-4.02311,0.8,0.2,-2.6858
24.4,17.5978,17.0656,2.66109,0.8,0.2,-2.15359
24.5,23.6596,22.2977,6.80936,0.8,0.2,-0.791714
24.6,30.0634,28.4944,7.84484,0.8,0.2,0.777253
24.7,35.7615,34.3236,7.18932,0.8,0.2,2.21512
24.8,40.3053,39.1533,5.76018,0.8,0.2,3.36715
24.9,43.4956,42.6945,4.00559,0.8,0.2,4.16827
25,45.2696,44.838,2.15836,0.8,0.2,4.59994
25.1,45.6544,45.5831,0.356411,0.8,0.2,4.67123
25.2,44.7379,45.0004,-1.31234,0.8,0.2,4.40876
25.3,42.6486,43.2071,-2.79263,0.8,0.2,3.85023
25.4,39.5401,40.3505,-4.05207,0.8,0.2,3.03982
25.5,35.5833,36.5975,-5.07118,0.8,0.2,2.02558
25.6,30.9712,32.137,-5.82887,0.8,0.2,0.859811
25.7,25.9465,27.2018,-6.2765,0.8,0.2,-0.395489
25.8,20.8805,22.1368,-6.28174,0.8,0.2,-1.65184
25.9,16.4732,17.5729,-5.49842,0.8,0.2,-2.75152
26,14.0674,14.7135,-3.23037,0.8,0.2,-3.3976
26.1,15.0728,14.933,0.699096,0.8,0.2,-3.25778
26.2,19.0273,18.1433,4.42008,0.8,0.2,-2.37376
26.3,24.3853,23.0894,6.47935,0.8,0.2,-1.07789
26.4,30.0951,28.6724,7.11347,0.8,0.2,0.344806
26.5,35.567,34.195,6.86013,0.8,0.2,1.71683
26.6,40.4187,39.2083,6.05205,0.8,0.2,2.92724
26.7,44.3668,43.3936,4.8658,0.8,0.2,3.9004
26.8,47.1926,46.5108,3.40888,0.8,0.2,4.58218
26.9,48.7351,48.3819,1.76609,0.8,0.2,4.93539
27,48.8939,48.8902,0.0184746,0.8,0.2,4.93909
27.1,47.6337,47.9838,-1.75038,0.8,0.2,4.58901
27.2,44.9887,45.6795,-3.45396,0.8,0.2,3.89822
27.3,41.0646,42.0656,-5.00473,0.8,0.2,2.89727
27.4,36.0388,37.3021,-6.31646,0.8,0.2,1.63398
27.5,30.1607,31.6217,-7.30482,0.8,0.2,0.173017
27.6,23.7579,25.3341,-7.88102,0.8,0.2,-1.40319
27.7,17.2741,18.858,-7.91973,0.8,0.2,-2.98713
27.8,11.4425,12.8659,-7.11683,0.8,0.2,-4.4105
