time,position
63.2,96.7401
63.3,127.342
63.4,152.207
63.5,167.963
63.6,172.343
63.7,164.103
63.8,143.049
63.9,110.029
64,66.8281
64.1,16.2361
64.2,-35.3934
64.3,2.88397
64.4,54.9395
64.5,100.311
64.6,135.483
64.7,157.825
64.8,165.578
64.9,158.045
65,135.592
65.1,99.6684
65.2,52.7278
65.3,-1.85206
65.4,-29.8506
65.5,27.8647
65.6,82.8097
65.7,130.144
65.8,166.72
65.9,190.204
66,199.323
66.1,193.911
66.2,174.99
66.3,144.703
66.4,106.486
66.5,65.4409
66.6,30.4575
66.7,17.7165
66.8,32.404
66.9,54.8731
67,71.7387
67.1,77.9179
67.2,71.7288
67.3,53.4252
67.4,25.3896
67.5,-3.99491
67.6,-1.2417
67.7,38.3399
67.8,84.8182
67.9,128.869
68,166.106
68.1,193.487
68.2,208.956
68.3,211.445
68.4,200.834
68.5,177.994
68.6,144.664
68.7,103.331
68.8,57.0432
68.9,9.72264
69,-26.673
69.1,-3.65877
69.2,30.9689
69.3,58.3359
69.4,76.0972
69.5,83.5599
69.6,81.0562
69.7,69.6974
69.8,51.3954
69.9,29.0916
70,7.64317
70.1,-3.22079
70.2,5.02623
70.3,23.8091
70.4,43.6852
70.5,61.075
70.6,74.9423
70.7,85.4214
70.8,93.1976
70.9,99.1497
71,103.932
71.1,107.767
71.2,110.35
71.3,110.927
71.4,108.647
71.5,102.725
71.6,92.716
71.7,78.6246
71.8,60.8408
71.9,40.2237
72,17.9925
72.1,-4.46466
72.2,-25.5125
72.3,-41.0958
72.4,-31.9677
72.5,-21.8302
72.6,-16.3373
72.7,-15.4649
72.8,-18.0736
72.9,-21.0745
73,-19.0569
73.1,-9.45753
73.2,4.74052
73.3,20.2994
73.4,35.1125
73.5,47.7857
73.6,57.3962
73.7,63.4418
73.8,65.7386
73.9,64.5078
74,60.1703
74.1,53.3473
74.2,44.754
74.3,35.0292
74.4,24.7916
74.5,14.5626
74.6,5.02092
74.7,-2.6199
74.8,-6.20673
74.9,-3.54959
75,5.31716
75.1,18.288
75.2,33.3038
75.3,48.8874
75.4,63.9542
75.5,77.6738
75.6,89.4742
75.7,98.9998
75.8,106.088
75.9,110.771
76,113.183
76.1,113.54
76.2,112.056
76.3,108.895
76.4,104.109
76.5,97.7162
76.6,89.687
76.7,80.002
76.8,68.7512
76.9,56.1421
77,42.6497
77.1,28.984
77.2,16.3519
77.3,6.46558
77.4,1.41257
77.5,2.19898
77.6,7.38793
77.7,14.3822
77.8,20.9584
77.9,25.6012
78,27.3029
78.1,25.3211
78.2,19.1118
78.3,8.3603
78.4,-6.88071
78.5,-25.5232
78.6,-32.6108
78.7,-8.78348
78.8,21.532
78.9,53.8476
79,86.336
79.1,117.324
79.2,145.06
79.3,168.017
79.4,184.704
79.5,193.969
79.6,195.048
79.7,187.597
79.8,171.804
79.9,148.316
80,118.298
80.1,83.3662
80.2,45.5046
80.3,7.02144
80.4,-27.2953
80.5,-21.6636
80.6,5.8828
80.7,28.4294
80.8,43.6165
80.9,50.7185
81,49.7844
81.1,41.5331
81.2,27.5696
81.3,10.8203
81.4,-2.53287
81.5,-2.29553
81.6,12.4776
81.7,32.353
81.8,51.1881
81.9,66.0804
82,75.4901
82.1,78.6818
82.2,75.6132
82.3,66.72
82.4,53.0923
82.5,36.3548
82.6,19.0163
82.7,5.04141
82.8,-0.194131
82.9,5.10645
83,15.9037
83.1,26.9627
83.2,35.5054
83.3,40.2775
83.4,40.8549
83.5,37.3645
83.6,30.215
83.7,20.1749
83.8,8.14741
83.9,-4.66916
84,-16.3481
84.1,-23.1868
84.2,-20.9479
84.3,-12.2101
84.4,-1.5852
84.5,8.96839
84.6,18.7278
84.7,27.4928
84.8,35.1713
84.9,41.7224
85,47.0955
85.1,51.1575
85.2,53.706
85.3,54.5107
85.4,53.2344
85.5,49.5718
85.6,43.3042
85.7,34.267
85.8,22.5211
85.9,8.41149
86,-7.04862
86.1,-20.8697
86.2,-23.6363
86.3,-11.3768
86.4,5.47093
86.5,21.7817
86.6,35.4784
86.7,45.2397
86.8,50.1577
86.9,49.6657
87,43.561
87.1,32.1579
87.2,16.274
87.3,-2.1654
87.4,-17.7671
87.5,-16.184
87.6,2.0887
87.7,23.7697
87.8,43.7885
87.9,59.9183
88,70.8654
88.1,75.8172
88.2,74.5241
88.3,67.186
88.4,54.4161
88.5,37.3366
88.6,17.4553
88.7,-2.9247
88.8,-19.1814
88.9,-20.6639
89,-8.28605
89.1,6.32177
89.2,19.1349
89.3,29.3947
89.4,37.4779
