time,x0,y0,x1,y1,x2,y2,distance
29.6000,-2.7610,-0.9478,1.9907,-2.5860,5.1137,0.0761,5.1142
29.7000,-1.9846,-2.1408,1.8256,-5.4186,5.4067,-3.4146,6.3947
29.8000,-0.7363,-2.8248,1.5933,-7.2784,5.4958,-6.0090,8.1432
29.9000,0.6870,-2.8372,1.2065,-7.8364,5.2813,-7.3501,9.0507
30.0000,1.9470,-2.1750,0.5828,-7.0125,4.6743,-7.3278,8.6917
30.1000,2.7441,-0.9957,-0.3108,-4.9869,3.6413,-6.0919,7.0972
30.2000,2.8887,0.4203,-1.4246,-2.1598,2.2372,-4.0123,4.5938
30.3000,2.3465,1.7364,-2.6149,0.9323,0.6168,-1.5968,1.7118
30.4000,1.2464,2.6397,-3.6610,3.7255,-0.9829,0.6162,1.1600
30.5000,-0.1500,2.9153,-4.3092,5.7373,-2.2868,2.1666,3.1501
30.6000,-1.5108,2.4978,-4.3331,6.6567,-3.0437,2.7609,4.1093
30.7000,-2.5124,1.4864,-3.5985,6.3938,-3.0913,2.3216,3.8660
30.8000,-2.9166,0.1216,-2.1128,5.0831,-2.4072,0.9899,2.6028
30.9000,-2.6274,-1.2721,-0.0475,3.0414,-1.1322,-0.9164,1.4565
31.0000,-1.7135,-2.3634,2.2775,0.6918,0.4439,-2.9794,3.0123
31.1000,-0.3922,-2.8927,4.4452,-1.5281,1.9327,-4.7727,5.1492
31.2000,1.0224,-2.7343,6.0217,-3.2534,2.9262,-5.9475,6.6284
31.3000,2.1939,-1.9257,6.6476,-4.2551,3.0873,-6.2958,7.0121
31.4000,2.8437,-0.6593,6.1218,-4.4694,2.2326,-5.7788,6.1951
31.5000,2.8175,0.7638,4.4560,-3.9878,0.3864,-4.5159,4.5324
31.6000,2.1213,2.0054,1.8885,-3.0154,-2.2061,-2.7421,3.5193
31.7000,0.9208,2.7701,-1.1505,-1.8094,-5.1137,-0.7451,5.1677
31.8000,-0.4986,2.8762,-4.1153,-0.6141,-7.7959,1.2007,7.8878
31.9000,-1.7995,2.2985,-6.4498,0.3913,-9.7072,2.8871,10.1275
32.0000,-2.6725,1.1743,-7.6984,1.1200,-10.4084,4.2017,11.2244
32.1000,-2.9101,-0.2291,-7.6005,1.5772,-9.6594,5.1270,10.9358
32.2000,-2.4558,-1.5781,-6.1470,1.8333,-7.4763,5.7157,9.4109
