time,predicted_position,filtered_position,position_error,kalman_gain_position,kalman_gain_velocity
23.4,14.2941,13.7702,-3.29401,0.159035,0.0917041
23.5,13.7704,13.2149,-3.49258,0.159035,0.0917042
23.6,13.1831,12.4522,-4.5955,0.159035,0.0917042
23.7,12.3782,11.3653,-6.36924,0.159035,0.0917043
23.8,11.2328,9.8782,-8.51777,0.159035,0.0917043
23.9,9.66766,8.31399,-8.51177,0.159035,0.0917041
24,8.02538,7.56528,-2.89308,0.159035,0.0917042
24.1,7.25015,7.53889,1.8156,0.159035,0.0917042
24.2,7.2404,8.09764,5.39027,0.159035,0.0917043
24.3,7.84859,9.07429,7.70712,0.159035,0.0917043
24.4,8.89592,10.2827,8.71985,0.159035,0.0917041
24.5,10.1843,11.5302,8.46315,0.159035,0.0917042
24.6,11.5094,12.6308,7.05151,0.159035,0.0917042
24.7,12.6747,13.4178,4.67242,0.159035,0.0917043
24.8,13.5045,13.755,1.57534,0.159035,0.0917043
24.9,13.8562,13.5476,-1.94043,0.159035,0.0917041
25,13.6309,12.7524,-5.52402,0.159035,0.0917042
25.1,12.7851,11.4128,-8.62918,0.159035,0.0917042
25.2,11.3664,10.0137,-8.50573,0.159035,0.0917043
25.3,9.88924,9.32368,-3.55625,0.159035,0.0917043
25.4,9.16664,9.33567,1.06288,0.159035,0.0917041
25.5,9.18838,9.8948,4.44191,0.159035,0.0917042
25.6,9.78824,10.8166,6.46623,0.159035,0.0917042
25.7,10.7693,11.9112,7.18016,0.159035,0.0917043
25.8,11.9298,12.9984,6.7192,0.159035,0.0917043
25.9,13.0786,13.9194,5.28698,0.159035,0.0917041
26,14.0481,14.5469,3.13667,0.159035,0.0917042
26.1,14.7044,14.7921,0.551497,0.159035,0.0917042
26.2,14.9546,14.6087,-2.17525,0.159035,0.0917043
26.3,14.7512,13.9945,-4.75834,0.159035,0.0917043
26.4,14.0934,12.9913,-6.93009,0.159035,0.0917041
26.5,13.0267,11.6882,-8.41624,0.159035,0.0917042
26.6,11.6464,10.2501,-8.7795,0.159035,0.0917042
26.7,10.1278,8.95119,-7.39849,0.159035,0.0917043
26.8,8.76102,7.94925,-5.10434,0.159035,0.0917043
26.9,7.71228,7.22921,-3.03753,0.159035,0.0917041
27,6.96438,6.74958,-1.35065,0.159035,0.0917042
27.1,6.47236,6.49429,0.137915,0.159035,0.0917042
27.2,6.21834,6.47368,1.6056,0.159035,0.0917043
27.3,6.21245,6.70293,3.08411,0.159035,0.0917043
27.4,6.46999,7.17878,4.45682,0.159035,0.0917041
27.5,6.9867,7.86754,5.53866,0.159035,0.0917042
27.6,7.72626,8.70473,6.15255,0.159035,0.0917042
27.7,8.61987,9.60152,6.17255,0.159035,0.0917043
27.8,9.57326,10.4547,5.5422,0.159035,0.0917043
27.9,10.4772,11.1578,4.27936,0.159035,0.0917041
28,11.2196,11.613,2.47366,0.159035,0.0917042
28.1,11.6975,11.742,0.279845,0.159035,0.0917042
28.2,11.8291,11.497,-2.0879,0.159035,0.0917043
28.3,11.5649,10.8738,-4.34588,0.159035,0.0917043
28.4,10.9018,9.9395,-6.05119,0.159035,0.0917041
28.5,9.91207,8.91311,-6.28142,0.159035,0.0917042
28.6,8.82807,8.12877,-4.39717,0.159035,0.0917042
28.7,8.00341,7.69174,-1.95974,0.159035,0.0917043
28.8,7.54841,7.52464,-0.149477,0.159035,0.0917043
28.9,7.37994,7.49347,0.713845,0.159035,0.0917041
29,7.35531,7.45233,0.610022,0.159035,0.0917042
29.1,7.31977,7.26452,-0.3474,0.159035,0.0917042
29.2,7.12877,6.81808,-1.9536,0.159035,0.0917043
29.3,6.66442,6.04828,-3.87424,0.159035,0.0917043
29.4,5.85909,5.17189,-4.32106,0.159035,0.0917041
29.5,4.94308,4.84027,-0.646473,0.159035,0.0917042
29.6,4.60552,5.08517,3.01598,0.159035,0.0917042
29.7,4.87808,5.81423,5.88642,0.159035,0.0917043
29.8,5.66112,6.89354,7.74936,0.159035,0.0917043
29.9,6.8115,8.16277,8.4967,0.159035,0.0917041
30,8.15865,9.44733,8.10312,0.159035,0.0917042
30.1,9.51751,10.5709,6.62346,0.159035,0.0917042
30.2,10.7018,11.368,4.18875,0.159035,0.0917043
30.3,11.5373,11.696,0.997597,0.159035,0.0917043
30.4,11.8744,11.4455,-2.69712,0.159035,0.0917041
30.5,11.5993,10.5489,-6.60459,0.159035,0.0917042
30.6,10.6421,9.00789,-10.2757,0.159035,0.0917042
30.7,9.00684,8.35373,-4.10671,0.159035,0.0917043
30.8,8.31503,8.58394,1.69088,0.159035,0.0917043
30.9,8.56074,9.55731,6.26636,0.159035,0.0917041
31,9.59157,11.1004,9.48761,0.159035,0.0917042
31.1,11.2217,13.0187,11.2991,0.159035,0.0917042
31.2,13.2435,15.1085,11.7264,0.159035,0.0917043
31.3,15.4409,17.1707,10.877,0.159035,0.0917043
31.4,17.6029,19.0238,8.93484,0.159035,0.0917041
31.5,19.5379,20.5162,6.15118,0.159035,0.0917042
31.6,21.0867,21.5369,2.83078,0.159035,0.0917042
31.7,22.1334,22.0247,-0.683002,0.159035,0.0917043
31.8,22.615,21.9752,-4.02309,0.159035,0.0917043
31.9,22.5285,21.4449,-6.81347,0.159035,0.0917041
32,21.9357,20.5524,-8.69816,0.159035,0.0917042
32.1,20.9635,19.4636,-9.43128,0.159035,0.0917045
32.2,19.7882,18.3466,-9.06424,0.159035,0.0917042
32.3,18.5881,17.3095,-8.03941,0.159035,0.091704
32.4,17.4773,16.374,-6.93749,0.159035,0.0917043
32.5,16.4781,15.5008,-6.14517,0.159035,0.0917041
32.6,15.5486,14.6349,-5.74513,0.159035,0.0917044
32.7,14.63,13.7497,-5.53497,0.159035,0.0917042
32.8,13.694,12.8878,-5.06949,0.159035,0.091704
32.9,12.7856,12.1741,-3.8451,0.159035,0.0917043
33,12.0367,11.7579,-1.75301,0.159035,0.0917041
33.1,11.6044,11.7261,0.765029,0.159035,0.0917044
33.2,11.5796,12.0777,3.13236,0.159035,0.0917042
33.3,11.96,12.7439,4.92963,0.159035,0.091704
33.4,12.6714,13.6129,5.9201,0.159035,0.0917043
33.5,13.5946,14.5505,6.01034,0.159035,0.0917041
33.6,14.5873,15.4171,5.21753,0.159035,0.0917044
33.7,15.5018,16.0816,3.6461,0.159035,0.0917042
33.8,16.1998,16.4332,1.46786,0.159035,0.091704
33.9,16.5648,16.3903,-1.09698,0.159035,0.0917043
34,16.5119,15.9078,-3.79823,0.159035,0.0917041
34.1,15.9945,14.9815,-6.36991,0.159035,0.0917044
34.2,15.0098,13.6539,-8.52535,0.159035,0.0917042
34.3,13.604,12.038,-9.84686,0.159035,0.091704
