time,predicted_position,filtered_position,position_error
33.4,7.44337,6.65466,-4.95935
33.5,6.49366,6.92727,2.72656
33.6,6.79127,8.14433,8.50793
33.7,8.08635,10.0353,12.2551
33.8,10.0898,12.3256,14.0592
33.9,12.509,14.7579,14.1412
34,15.071,17.1127,12.8382
34.1,17.5434,19.2143,10.5061
34.2,19.7414,20.9375,7.52152
34.3,21.5336,22.2075,4.2375
34.4,22.8425,22.9877,0.91326
34.5,23.631,23.2715,-2.26027
34.6,23.8941,23.0673,-5.19906
34.7,23.6422,22.3876,-7.88861
34.8,22.8902,21.2474,-10.3293
34.9,21.6553,19.6738,-12.4597
35,19.9673,17.73,-14.0681
35.1,17.8946,15.5621,-14.6661
35.2,15.5922,13.444,-13.5079
35.3,13.3502,11.7427,-10.1077
35.4,11.5562,10.7627,-4.98977
35.5,10.5304,10.64,0.689278
35.6,10.4141,11.3619,5.95997
35.7,11.1906,12.8197,10.2432
35.8,12.7423,14.8519,13.2646
35.9,14.8962,17.2734,14.948
36,17.4548,19.8991,15.3698
36.1,20.2215,22.5566,14.683
36.2,23.0135,25.1011,13.1267
36.3,25.6785,27.4192,10.9458
36.4,28.097,29.4267,8.36111
36.5,30.1811,31.0628,5.54448
36.6,31.8681,32.2817,2.6008
36.7,33.1108,33.0384,-0.4552
36.8,33.8633,33.2822,-3.65418
36.9,34.0736,32.9535,-7.04324
37,33.6803,31.9856,-10.6562
37.1,32.6147,30.3174,-14.4457
37.2,30.814,27.9086,-18.269
37.3,28.2377,24.775,-21.773
37.4,24.9044,21.0558,-24.1999
37.5,20.9633,17.1866,-23.7478
37.6,16.8763,13.9761,-18.2365
37.7,13.4986,11.9847,-9.5193
37.8,11.4199,11.2888,-0.824088
37.9,10.7164,11.7325,6.38922
38,11.2188,13.0655,11.6121
38.1,12.6582,15.0023,14.7395
38.2,14.7302,17.249,15.838
38.3,17.1221,19.5248,15.1076
38.4,19.5364,21.579,12.8437
38.5,21.7085,23.203,9.39766
38.6,23.4187,24.2394,5.16086
38.7,24.5024,24.5891,0.545626
38.8,24.8571,24.2129,-4.05064
38.9,24.4437,23.1306,-8.25702
39,23.2857,21.4166,-11.7524
39.1,21.4639,19.1962,-14.2595
39.2,19.1127,16.635,-15.5798
39.3,16.4087,13.9164,-15.6712
39.4,13.5464,11.2164,-14.6509
39.5,10.712,8.65691,-12.9223
39.6,8.03401,6.28273,-11.0119
39.7,5.55887,4.06901,-9.36816
39.8,3.25924,1.94176,-8.28425
39.9,1.05598,-0.193856,-7.8589
40,-1.15166,-2.43726,-8.08378
40.1,-3.46924,-4.87771,-8.85634
40.2,-5.99086,-7.51678,-9.5949
40.3,-8.71792,-9.18199,-2.91802
40.4,-10.4099,-9.87899,3.33854
40.5,-11.0763,-9.68475,8.74977
40.6,-10.8018,-8.70625,13.1769
40.7,-9.70246,-7.07994,16.4902
40.8,-7.92493,-4.96843,18.5903
40.9,-5.64296,-2.55668,19.4063
41,-3.05323,-0.0438459,18.9228
41.1,-0.366881,2.36491,17.1773
41.2,2.19941,4.46918,14.2721
41.3,4.43455,6.08467,10.3758
41.4,6.1452,7.05363,5.71215
41.5,7.16654,7.25508,0.556685
41.6,7.37309,6.61474,-4.76845
41.7,6.68903,5.1122,-9.91497
41.8,5.09557,2.79928,-14.4389
41.9,2.65023,0.100011,-16.0356
42,-0.196086,-1.5666,-8.61772
42.1,-1.94174,-2.15264,-1.32615
42.2,-2.53993,-1.87913,4.15503
42.3,-2.22832,-0.998837,7.7309
42.4,-1.27713,0.233915,9.50137
42.5,0.0427581,1.5825,9.68179
42.6,1.48012,2.84209,8.56395
42.7,2.81825,3.85852,6.54112
42.8,3.89466,4.54252,4.07371
42.9,4.61603,4.88731,1.7058
43,4.97646,4.98488,0.0529733
43.1,5.07451,5.01716,-0.360628
43.2,5.10349,5.21013,0.670564
43.3,5.3026,5.75232,2.82779
43.4,5.87073,6.74542,5.50001
43.5,6.91426,8.20763,8.13262
43.6,8.45106,10.0974,10.3521
43.7,10.4358,12.3379,11.9603
43.8,12.7859,14.8339,12.8778
43.9,15.4001,17.4819,13.0902
44,18.168,20.1754,12.6224
44.1,20.9774,22.8065,11.5016
44.2,23.7139,25.2659,9.75893
44.3,26.2628,27.4442,7.42859
44.4,28.5092,29.2336,4.55484
44.5,30.3404,30.5326,1.20857
44.6,31.6505,31.2536,-2.49553
44.7,32.3486,31.3245,-6.43922
44.8,32.3605,30.7004,-10.4384
44.9,31.6406,29.3706,-14.2735
45,30.1799,27.3615,-17.7222
45.1,28.0083,24.7467,-20.5087
45.2,25.2054,21.6499,-22.3569
45.3,21.9036,18.2567,-22.9316
45.4,18.3001,14.8139,-21.9211
45.5,14.6562,11.5842,-19.3167
45.6,11.2494,8.74186,-15.7675
45.7,8.26252,6.31462,-12.2482
45.8,5.72296,4.22219,-9.43673
45.9,3.54396,2.33468,-7.6039
46,1.58674,0.51469,-6.74099
46.1,-0.29509,-1.35868,-6.68778
46.2,-2.22976,-3.3653,-7.14017
46.3,-4.30185,-5.46185,-7.29401
46.4,-6.46533,-7.22957,-4.80547
46.5,-8.27708,-8.20999,0.421845
46.6,-9.25368,-8.30696,5.95286
46.7,-9.29602,-7.55146,10.9697
46.8,-8.43992,-6.02249,15.2006
46.9,-6.77159,-3.83049,18.4934
47,-4.40997,-1.10935,20.7541
47.1,-1.49852,1.98301,21.8916
47.2,1.79461,5.27184,21.8646
47.3,5.28395,8.56874,20.6546
47.4,8.77026,11.6795,18.2931
47.5,12.0488,14.4157,14.8834
47.6,14.9215,16.6077,10.6031
47.7,17.2107,18.1178,5.70384
47.8,18.7731,18.8628,0.564068
47.9,19.5233,18.8395,-4.29971
48,19.4605,18.1563,-8.20099
48.1,18.7021,17.0732,-10.2428
48.2,17.5251,15.9863,-9.67545
48.3,16.3495,15.2892,-6.66695
48.4,15.5913,15.2067,-2.41822
48.5,15.4865,15.7593,1.71516
48.6,16.0549,16.8214,4.81944
48.7,17.1611,18.1883,6.45881
48.8,18.5873,19.6218,6.50481
48.9,20.0805,20.8877,5.07539
49,21.3929,21.7811,2.44104
49.1,22.3087,22.1479,-1.01064
49.2,22.6663,21.9004,-4.81598
49.3,22.3745,21.0284,-8.46412
49.4,21.425,19.6055,-11.4407
49.5,19.8971,17.7798,-13.3136
49.6,17.9494,15.7466,-13.851
49.7,15.7891,13.688,-13.2111
49.8,13.6094,11.7091,-11.9492
49.9,11.5209,9.8109,-10.7521
50,9.52408,7.91288,-10.1311
50.1,7.53315,5.89436,-10.3046
50.2,5.42015,3.63399,-11.2313
50.3,3.05678,1.04099,-12.6751
50.4,0.347526,-1.92865,-14.3124
50.5,-2.75334,-4.44145,-10.6147
50.6,-5.36352,-5.93308,-3.58134
50.7,-6.88795,-6.59192,1.86138
50.8,-7.52973,-6.63965,5.59677
50.9,-7.52616,-6.31008,7.64664
51,-7.12643,-5.82034,8.21266
51.1,-6.56141,-5.33193,7.73084
51.2,-6.00208,-4.89408,6.96708
51.3,-5.50034,-4.39294,6.96325
51.4,-4.93537,-3.5692,8.59032
51.5,-4.03283,-2.15268,11.8223
51.6,-2.50791,0.00519609,15.8022
51.7,-0.205109,2.90533,19.5582
51.8,2.87438,6.42476,22.3246
51.9,6.59854,10.3505,23.5923
52,10.7407,14.4104,23.0749
52.1,15.0121,18.2995,20.6709
52.2,19.0908,21.708,16.4569
52.3,22.6502,24.3469,10.6689
52.4,25.387,25.9698,3.66471
52.5,27.0435,26.395,-4.07753
52.6,27.4313,25.525,-11.9868
52.7,26.4513,23.3663,-19.3983
52.8,24.1147,20.0933,-25.2862
52.9,20.6099,16.3249,-26.9439
53,16.5944,13.3771,-20.2299
53.1,13.4611,11.7994,-10.4486
53.2,11.7875,11.4483,-2.13323
53.3,11.4168,12.0221,3.80583
53.4,12.0256,13.1963,7.36151
53.5,13.2673,14.6772,8.86543
53.6,14.8295,16.2286,8.79768
53.7,16.4616,17.6898,7.72253
53.8,17.9935,18.9798,6.20135
53.9,19.3404,20.085,4.68177
54,20.4886,21.03,3.40464
54.1,21.4649,21.8411,2.36584
54.2,22.2976,22.5097,1.33371
54.3,22.9784,22.9796,0.00717545
54.4,23.4484,23.151,-1.87008
54.5,23.6026,22.9044,-4.39069
54.6,23.3158,22.1395,-7.39632
54.7,22.483,20.8263,-10.4178
54.8,21.0743,19.0827,-12.5231
54.9,19.2159,17.249,-12.3677
55,17.2687,15.8429,-8.96572
55.1,15.7804,15.2943,-3.05675
55.2,15.2038,15.7632,3.51767
55.3,15.705,17.1738,9.23581
55.4,17.2003,19.3035,13.225
55.5,19.4513,21.8532,15.1035
55.6,22.1395,24.4912,14.7873
55.7,24.9131,26.893,12.4497
55.8,27.429,28.7707,8.43635
55.9,29.3841,29.9015,3.25324
