time, running_average(5), position_error, PI_output, smoothed_output, total_output
31.4,16.7536,-0.714218,-1.05344,-0.57514,1.62858
31.5,17.0638,-1.13599,-1.48657,-0.802998,2.28957
31.6,17.5519,-1.27758,-1.64094,-1.01248,2.65342
31.7,18.101,-1.08179,-1.45596,-1.12335,2.57932
31.8,18.5612,-0.565111,-0.944936,-1.07875,2.02368
31.9,18.7829,0.206987,-0.170768,-0.851754,1.02252
32,18.6422,1.14555,0.779248,-0.444003,-0.335245
32.1,18.0565,2.15573,1.81098,0.119743,-1.93073
32.2,16.9882,3.14678,2.8335,0.798183,-3.63168
32.3,15.4443,4.0374,3.7645,1.53976,-5.30426
32.4,13.4719,4.75823,4.53291,2.28805,-6.82096
32.5,11.1533,5.24981,5.07699,2.98528,-8.06228
32.6,8.60756,5.43527,5.3168,3.56816,-8.88497
32.7,6.10115,4.79175,4.7212,3.85642,-8.57763
32.8,4.35725,1.66979,1.61593,3.2963,-4.91224
32.9,3.55544,-1.14918,-1.21453,2.16859,-0.954067
33,3.66004,-2.7664,-2.8594,0.911595,1.94781
33.1,4.57575,-3.17507,-3.29983,-0.141262,3.44109
33.2,6.04891,-2.62628,-2.7773,-0.800272,3.57758
33.3,7.36141,-1.88854,-2.05845,-1.11482,3.17327
33.4,8.33405,-1.23378,-1.41603,-1.19012,2.60615
33.5,8.9989,-0.751794,-0.941557,-1.12798,2.06954
33.6,9.43378,-0.491452,-0.68613,-1.01752,1.70365
33.7,9.73634,-0.451665,-0.650859,-0.925852,1.57671
33.8,10.001,-0.572083,-0.776997,-0.888639,1.66564
33.9,10.2959,-0.746567,-0.958947,-0.906216,1.86516
34,10.6469,-0.858911,-1.07988,-0.949632,2.02951
34.1,11.0325,-0.820611,-1.04979,-0.974671,2.02446
34.2,11.3915,-0.591547,-0.826638,-0.937662,1.7643
34.3,11.6411,-0.179794,-0.416683,-0.807418,1.2241
34.4,11.6979,0.371095,0.137917,-0.571084,0.433167
34.5,11.4968,0.996732,0.773521,-0.234933,-0.538588
34.6,11.0022,1.6221,1.41511,0.177579,-1.59269
34.7,10.2157,2.16513,1.97979,0.628132,-2.60792
34.8,9.18143,2.53173,2.37171,1.06403,-3.43574
34.9,7.99508,2.60002,2.46599,1.41452,-3.88051
35,6.81519,2.21461,2.10273,1.58657,-3.68931
35.1,5.846,1.31189,1.21313,1.49321,-2.70635
35.2,5.25513,0.158905,0.0617381,1.13534,-1.19708
35.3,5.10839,-0.807601,-0.912844,0.623297,0.289547
35.4,5.36728,-1.32222,-1.44068,0.107302,1.33338
35.5,5.8966,-1.35056,-1.48253,-0.290155,1.77268
35.6,6.49148,-1.01704,-1.15919,-0.507413,1.6666
35.7,6.96218,-0.487566,-0.634583,-0.539205,1.17379
35.8,7.19667,0.10823,-0.0377049,-0.41383,0.451535
35.9,7.15439,0.676323,0.537152,-0.176085,-0.361068
36,6.8469,1.13719,1.00939,0.120284,-1.12967
36.1,6.32994,1.40623,1.29249,0.413336,-1.70583
36.2,5.70544,1.37816,1.2782,0.629553,-1.90776
36.3,5.12097,0.954885,0.864478,0.688284,-1.55276
36.4,4.73781,0.175525,0.0868733,0.537931,-0.624805
36.5,4.6764,-0.726255,-0.822169,0.197906,0.624263
36.6,4.98929,-1.49884,-1.60974,-0.254005,1.86374
36.7,5.6575,-2.01083,-2.14184,-0.725963,2.8678
36.8,6.59401,-2.25465,-2.40821,-1.14653,3.55474
36.9,7.67444,-2.28997,-2.46642,-1.4765,3.94292
37,8.7862,-2.17529,-2.3735,-1.70075,4.07425
37.1,9.84591,-1.94075,-2.15836,-1.81515,3.97352
37.2,10.789,-1.59488,-1.82845,-1.81848,3.64692
