time,measured_position,estimated_position, error, L1, L2, estimated_velocity
28.4,-2.00794,2.43432,-8.88452,0.5,0.1,-1.68296
28.5,-4.44875,-1.09136,-6.71477,0.5,0.1,-2.35443
28.6,-2.84633,-2.08657,-1.51952,0.5,0.1,-2.50639
28.7,0.375417,-0.980896,2.71263,0.5,0.1,-2.23512
28.8,3.08604,0.940813,4.29044,0.5,0.1,-1.80608
28.9,4.47704,2.61862,3.71683,0.5,0.1,-1.4344
29,4.21902,3.3471,1.74384,0.5,0.1,-1.26001
29.1,2.23409,2.7276,-0.987004,0.5,0.1,-1.35871
29.2,-1.3603,0.615714,-3.95202,0.5,0.1,-1.75391
29.3,-6.13091,-2.84529,-6.57123,0.5,0.1,-2.41104
29.4,-8.63346,-5.85993,-5.54706,0.5,0.1,-2.96574
29.5,-3.11749,-4.637,3.03901,0.5,0.1,-2.66184
29.6,3.53166,-0.685761,8.43484,0.5,0.1,-1.81836
29.7,9.81764,4.47502,10.6852,0.5,0.1,-0.749836
29.8,15.1084,9.75421,10.7083,0.5,0.1,0.320998
29.9,18.9058,14.3461,9.11951,0.5,0.1,1.23295
30,20.8137,17.6415,6.34437,0.5,0.1,1.86739
30.1,20.5716,19.1999,2.7433,0.5,0.1,2.14172
30.2,18.0713,18.7427,-1.34279,0.5,0.1,2.00744
30.3,13.3588,16.1511,-5.58461,0.5,0.1,1.44898
30.4,6.64383,11.4699,-9.65221,0.5,0.1,0.483755
30.5,-1.72294,4.89769,-13.2413,0.5,0.1,-0.84037
30.6,-10.9782,-3.08228,-15.7919,0.5,0.1,-2.41956
30.7,-1.90955,-2.61689,1.41468,0.5,0.1,-2.27809
30.8,8.30201,2.72865,11.1467,0.5,0.1,-1.16342
30.9,17.9441,10.2782,15.3318,0.5,0.1,0.369765
31,26.4468,18.381,16.1316,0.5,0.1,1.98292
31.1,33.3302,25.9547,14.7509,0.5,0.1,3.45801
31.2,38.2278,32.2642,11.9273,0.5,0.1,4.65074
31.3,40.9243,36.8268,8.19502,0.5,0.1,5.47024
31.4,41.3636,39.3687,3.98981,0.5,0.1,5.86922
31.5,39.6699,39.8127,-0.285728,0.5,0.1,5.84065
31.6,36.1274,38.2621,-4.26943,0.5,0.1,5.41371
31.7,31.1933,34.9984,-7.61014,0.5,0.1,4.65269
31.8,25.4734,30.4686,-9.99022,0.5,0.1,3.65367
31.9,19.7196,25.2768,-11.1143,0.5,0.1,2.54224
32,14.7636,20.1473,-10.7674,0.5,0.1,1.46551
32.1,11.3538,15.8238,-8.94004,0.5,0.1,0.571501
32.2,9.73825,12.8096,-6.14274,0.5,0.1,-0.0427731
32.3,9.38485,11.0951,-3.4205,0.5,0.1,-0.384823
32.4,9.37036,10.2135,-1.68626,0.5,0.1,-0.553449
32.5,8.95636,9.55725,-1.20178,0.5,0.1,-0.673627
32.6,7.89637,8.69313,-1.59352,0.5,0.1,-0.832979
32.7,6.47854,7.54419,-2.13129,0.5,0.1,-1.04611
32.8,5.53606,6.48782,-1.90352,0.5,0.1,-1.23646
32.9,6.16963,6.2669,-0.194541,0.5,0.1,-1.25591
33,8.85647,7.49889,2.71516,0.5,0.1,-0.984397
33.1,13.0271,10.2138,5.6267,0.5,0.1,-0.421727
33.2,17.7106,13.9411,7.53898,0.5,0.1,0.33217
33.3,22.0659,18.0201,8.09155,0.5,0.1,1.14133
33.4,25.4719,21.8031,7.33769,0.5,0.1,1.87509
33.5,27.5001,24.7453,5.50947,0.5,0.1,2.42604
33.6,27.8986,26.4433,2.9107,0.5,0.1,2.71711
33.7,26.5828,26.6489,-0.132195,0.5,0.1,2.70389
